story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"On Sunday, September 24th Team Ride to Give and Team Boom will be participating in Ironman 70.3 Augusta in Augusta , GA Kevin Baxter 1130 Austin Marshall 101 Bill Halstead 102 Stacy Hughes Halstead Team Boom 4019 Larry Daniel Hughes Team Boom 4019 Crystal Condon Team Boom - 4019 David Nazaroff Ride To Give 3.0 4065 Sarah J. Keeney Ride To Give 3.0 4065 Kelly Meredith Ride To Give 3.0 4065 George Abrams 1108 Erik and Patty Heine of Oklahoma City, OK were excited to welcome
  their first child, a son Stephen, in 2007. After he was born, the
  Heines observed Stephen had broad thumbs and toes, which they found
  odd but endearing. He also had a LOT of hair! From birth, Stephen
  struggled with feeding which caused him to have trouble gaining
  weight. It was frustrating, but they chalked it up to reflux and enjoy
  their sweet new baby. As he grew, Stephen hit his milestones on time, but always at the
  late end of the ""normal"" range. When Stephen was nine months
  old, he had hernia surgery, which led to the discovery of a heart
  murmur and a kidney abnormality. Following surgery, Stephen's physical
  development stalled, and at one year old, he was referred for Early
  Intervention for therapies. There were still lingering
    questions about his health issues, and after additional testing,
    Stephen was diagnosed with Rubinstein Taybi Syndrome in
    May of 2008. Rubinstein Taybi Syndrome , a
  genetic disorder which affects approximately 1:250,000 births, is
  characterized by short stature, moderate to severe intellectual
  disability, distinctive facial features, and broad thumbs and first
  toes. Additional features of the disorder can include eye
  abnormalities, heart and kidney defects, dental problems, and obesity.
  These signs and symptoms vary among affected individuals. People with
  this condition have an increased risk of developing noncancerous and
  cancerous tumors, including certain kinds of brain tumors. Cancer of
  blood-forming tissue (leukemia) also occurs more frequently in people
  with Rubinstein Taybi syndrome. Infants born with this severe form of
  the disorder usually survive only into early childhood. Thankfully Stephen’s overall health has balanced out, and he
    is a happy and thriving 4th grader. Currently, Stephen receives private physical and occupational
  therapies, as well as physical, occupational, and speech therapy in
  his school setting.  To meet his goals of independence as an adult,
  Stephen spends approximately 3/4 of his school day with his typically
  developing peers, in the regular education classroom. Also, he has
  difficulty communicating verbally, so he uses Proloquo2Go software on an iPad
  mini to communicate. Doctors have not given the Heines a timeline as to what they should
  expect with Stephen, so they take everything one day at a time.
  They're determined to not let their child's disability or illness keep
  them from doing the things they love and find a way to adapt and make
  that activity possible. Erik is an avid runner, and for years it has
  been an activity he can share with Stephen. Up until recently, they
  have been able to use a traditional running stroller which Stephen has
  now out grown and is not 100% safe for him. After much research, Eric
  found the Blade at www.hoytrunningchairs.com . Hoyt Running Chairs designs and
    manufactures state-of-the-art racing chairs for individuals with
    disabilities. As a subdivision of Southbridge Tool &
    Manufacturing , they are able to custom build each chair to the
    comfort and needs of both the rider and the runner. They pride
    themselves on getting to know their clients and providing them with
    the ultimate racing experience. Mike Didonato , the president of Southbridge
    Tool & Manufacturing first heard the story of Rick and Dick Hoyt in 2009. Dick Hoyt has pushed his son Rick,
      who was diagnosed a spastic quadriplegic with cerebral palsy after
      his birth in 1962, in over 1,000 races including marathons,
      triathlons, and 6 Ironman races. Their story inspired Mike,
    and a few months later he happened to meet Dick Hoyt at a local
    grocery store. Mike mentioned his family’s manufacturing company and
    offered to fix Rick’s chair if needed. The next year, Dick Hoyt
    showed up at Southbridge Tool and Manufacturing and asked if a brand
    new chair could be built for Rick because he was very uncomfortable
    in his original chair. The Signature was built in time for the Hoyts to compete in the 2010 Boston Marathon . The chair was
    beautifully built for comfort, speed, and maneuverability. Soon,
    other teams and families began asking for a chair. In 2014, Mike was
    approached by Nick Sotar , a retired bicycle shop owner, who
    admired The Signature but had some ideas to improve the design. Nick
    presented Mike with a design for a revolutionary new racing chair
    called The Blade , which is easily
    disassembled and can be shipped in a bike box. After Stephen was diagnosed with Rubinstein Taybi syndrome at 18
  months old, it took almost seven years before they were able to get
  him on non-income-based Medicaid. As a result, the Heines ate through
  their entire family savings paying for medical bills and therapies
  even with insurance. Unfortunately, the cost of a Blade racing
    wheelchair is approximately 10% of Erik’s gross annual
  salary as a Professor of Music at Oklahoma City University ,
  and not something they have sitting around or in a savings account.
  The Blade has not been deemed ""essential"" by their
  insurance. However, Stephen's Occupational and Physical Therapists
  both believe that a chair that he can use for over a decade IS
  essential to helping him relieve stress and participate in an outdoor
  activity like his typically-developing peers. Ride to Give agrees and wants to provide Stephen with a custom
    built Blade that will fit him perfectly and will be used for years
    to come. Our mission at RTG is to turn athletic ability into
  fundraising power for families with children who are disabled,
  injured, or ill.  We think Stephen and Erik will make fantastic
  ambassadors for Team Ride to Give and we can’t wait to see them race
  for the first time with their new Hoyt Running Chair . Please help us purchase the
  Blade running chair and accessories for Stephen by making a tax
  deductible donation to Ride to Give. At this time, Stephen does not have a Facebook Page of his
    own, so follow Ride to GIve on Facebook for all updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has complete discretion and control over the use of all donated funds. Questions about how your donation is used can be answered by clicking here. Please visit Ride to Give on the web at www.ridetogive.com or on Facebook at www.facebook.com/ridetogive .","15,444",of $15k goal,https://fund.ridetogive.com/e1HGb1,Ride to Give- Flash Ironman Fundraiser for Stephen,920,,U.S. Dollar
"About us... We are a family of 6 on one
        income. I am a stay at home mom of 4 amazing kids. I have one
        daughter who is 17.  I have two middle sons, ages 14 and 13.
        They have autistic disorders but have come a LONG way with all
        the help and support of friends, family, teachers, coaches,
        therapist and God. Then we had Kyle.  Kyle is our first son who
        is ""normal"" and now I just found out he is moderate
        Protan color blind.  What does that mean?  Well anything with
        red in it he doesn't see correctly. Purples look blue b/c the red portion of the color purple is
        missing. Red sometimes looks black . Orange and green can look
        like each other. Most stuff looks like a weird brownish green . His world is
        shades of brown/green with blue , yellow , black and white. It breaks my heart because I
        LOVE colors.  I love r a i n b o w s , and crystals and holiday decorations. I love
        fall leaves, flowers , fireworks and M & M's . How do these things
        look to him?  Probably dreary. Kyle is 8 years old and is in
        3rd grade. He LOVES riding his dirt bike , playing soccer,
        building things and helping his dad with what ever project he is
        working on. He is a dare devil and talks nonstop.  We suspected
        for years that he may be colorblind but we didn't understand the
        condition. So when we would do our little tests and ask him
        ""What color is this?"", if he got it right, we assumed
        he could see fine and must be playing a trick on us. Now I get
        it, and it's not that simple. He has learned what we call red and what we call orange.  He
        doesn't however see it like we do.  In fact they are all so
        close in color to him he has a hard time telling them apart at
        all. It all depends on the lighting and how far away the thing
        is. Color blindness runs in my
          family and on my husbands side as well, but we thought we were
          in the clear. Maybe in denial. After having some teachers
          voice their concerns, and the many times he called something
          the wrong color, we  finally just had him
        tested...twice.  I believe it now. It's effecting his school
        situations as well as his sports.  And I would assume,  just his
        everyday enjoyment of life. I know he doesn't know what he's
        missing, but I do. We take seeing in color for granted. Color
        brings joy to us though.  I have probably done all I can to help
        my older boys with their autism, I'd like to do what I can to
        help Kyle. This fundraiser is to raise
          money to buy Kyle a pair of glasses that will help him
        see the colors he's missing.  It helps 75% of people who try
        them.  We have been saving for a few years and we are finally
        taking our kids to Florida for a week in November (12th-18th) of
        this year. Kyle's 9th birthday is November 13th. We will be
        spending his whole birthday at Disney's Magic Kingdom! We are
        also going to Disney's Animal Kingdom, the ocean, and
          Universal Studio's islands of adventure.  I would LOVE for him
          to see Disney, Universal and the beach in all it's glory with a pair of these glasses. He will also get to see the
        fireworks in full color! PLEASE help my son! Any donation no
        matter how small will make a difference. I want to be able to
        hand him a wrapped gift on the way to Florida and have him open
        it and experience the world the way we see it. IN FULL COLOR! 
        Like Dorothy in the ""Wizard of Oz"".  It would be the
        best birthday ever!  THANK YOU! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",175,of $349 goal,https://fundrazr.com/d1Hehd,PLEASE HELP my son see Disney in FULL COLOR!,3,"Oct 24, 2017",U.S. Dollar
"Help Dustin see in color! Dustin is my son, he is 15 yrs
      old and will start driving soon. I have been putting money in to a
      savings account to buy him 2 sets of glasses. One in-door pair and
      one out-door pair as a surprise back to school gift for him, but
      earlier this year i became very sick and can not work. I suffer
      from chronic kidney disease , which took my right kidney a year
      ago and is now killing my left kidney. Due to my medical bills we
      had to use up all of our savings.  We try very hard not to make
      our children go without due to my illnesses, so i have decided to
      ask for help! I can imagine going through life color blind, let
      alone childhood. Please help me bring color to my sons life! Every little-bit helps and if
      you can't give thats OK, you can stil help by sharing my story. Thank you for your support! If you would like to learn
      more about Enchroma Glasses and color blindness check out the
      information below. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",150,of $650 goal,https://fundrazr.com/81GoT0,Enchroma glasses for Dustin!,2,,U.S. Dollar
"About John John has been color blind since
    birth. When he was first in school his teacher was concerned because
    he would only use crayon with their color label still attached.
    Later on they found out he was reading the color name. When Curtis,
    John's father, was doing research for his graduate degree, he
    discovered that John was Red-green color blind. People John meets
    these days can't tell he is colorblind because John work's daily to
    strengthen his ability to distinguish colors. To this day he can't
    tell the difference between cantaloupe and honeydew. John's accomplishments John has taken many art classes. He
    is a great artist and wants to be a better one. This
    was done on a Post-It Note This
    is also on a Post-It Note Reasons to Donate John would benefit greatly from this experience. Anything helps. I'm
  hoping to raise enough money to get these for Christmas. I'm hoping
  everyone would donate $10-20. I appreciate all your help. WHAT IS E NCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",200,of $400 goal,https://fundrazr.com/JohnCMartin,Color to the Blind,6,"Dec 10, 2017",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $400 goal,https://fundrazr.com/f1Horf,Help Josh with red-green colorblindness!,1,"Nov 24, 2017",U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",230,of $500 goal,https://fundrazr.com/a1HR5e,Have you ever tried to dress yourself colorblind?,5,"Oct 16, 2017",U.S. Dollar
"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumors to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumors whenever needed to preserve my life. In November 2017, I need to under go surgery again to remove multiple
  large tumors called schwannoma from both my arms. They have made my
  fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I loose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. When: November 2017 For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong","3,330",of $48.3k goal,https://fundrazr.com/savemyarm,Please help to save Yvonne's arm,38,"Nov 10, 2017",U.S. Dollar
"For those of you who do not know Ben Durst personally, I am sorry.
  For those of you that do know Ben, I am still sorry. But you know
  why..... (lol) Ben hit a cold reality when he was recently diagnosed with bladder
  cancer. It was a shock to say the least. He is too young and not ready
  to stop making people laugh. He wants to fight.  But he has a problem..... Ben is on Medicare. He does not have prescription drug coverage. The
  one medication he has to take at home to build his white blood cells
  after the chemo kills them off is $4,752 a prescription. He has 7
  refills. That's $33,264 for this prescription for his 4 cycles of
  chemo, and the month after. If he does not get this medication, the
  chemo will surely kill him. This medication will help him fight off
  infection since his white blood cells will no longer have those
  capabilities. There are organizations that will help, and he is in
  communication with them.  However, they are slow to reply and he needs
  to be sure he has financing. He was able to get the first prescription free. Ben has always had 2 goals in life... The first goal is to laugh and
  make others laugh. He went to the hospital telling people he was
  worried about a certain test because he didn't get to study for it. Of
  course, everyone laughed. He loves having parties and getting family
  together. He is always there for his Mom Evelyn, and his sister Lisa.
  He takes care of me, the house and my parents. Ben is a big guy with
  an even bigger heart. His other goal is to work. He is a truck driver and loves being on
  the road. He makes overnight deliveries while seeing the country. An
  active member Fraternal Organization of Eagles #3138 (Taylor, MI), he
  has often stopped in clubs around his delivery locations just to
  support the organization. All he wants to do now is get back to work
  and feel whole again. I am Suzette Pariseau and I have been Ben's better half for more
  than 6 years.  I am an ESL teacher and can take time off work to help
  him, but I do not get paid for the time I take off. Financially, I
  have to take care of our regular bills to keep us afloat.  Ben is also
  a proud man and would never ask for monetary help, so I am doing it
  for him. If you can donate and help him pay for his medications, it
  would be greatly appreciated.  Any amount would help. If you need any
  more information than what I have already posted, or would prefer to
  send a donation via snail-mail, please email me at parisuze@yahoo.com , or Cancer2017SUCKS@yahoo.com . Thank you for your generosity. Everyone loves a comedian. Please help keep Ben Durst laughing....","1,705",of $36.9k goal,https://fundrazr.com/helpBenDurst,For the Love of Ben Durst,18,,U.S. Dollar
"Did you know that Ryan is
      colorblind and has enchroma? These colorblind glasses are proven
      to work and they'd be such a cool gift to give to him! I know he
      would LOVE them as a group gift from friends and family! They're
      super pricey so I'm just seeing if you would be willing to pitch
      in with an amount (ideally $30-$50 each). WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",170,of $250 goal,https://fundrazr.com/41HiD0,Ryan Bregier's birthday gift from friends &family!,4,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",570,of $650 goal,https://fundrazr.com/41Hb57,Help Gage See Colors,12,,U.S. Dollar
